,Cod_cliente,Ultima_Compra,Total_transacoes,Valor_total_gasto,Avg_transacao,diversidade_produtos,Dia_fav_compra,UK,Gastos_medios_mensais,Desvio_padrao_gastos_mensais,Tendencia_gastos
62,12427,21,28,699.8000000000001,24.99,25,0,0,233.26666666666665,25.62978215540144,-22.89
63,12429,9,94,3388.4,36.05,81,0,0,847.1,325.3753528875023,-11.452000000000009
64,12430,43,10,216.4,21.64,10,3,0,216.4,0.0,0.0
65,12431,35,233,6382.45,27.39,162,3,0,797.80625,247.76520359505687,9.876071428571436
66,12434,84,50,806.14,16.12,46,4,0,403.07,165.20842835642495,233.64
67,12435,79,36,7829.89,217.5,31,3,0,3914.9450000000006,90.5733076021848,-128.0899999999997
68,12436,99,15,429.01,28.6,15,3,0,429.01,0.0,0.0
69,12437,1,184,4447.41,24.17,117,2,0,444.741,375.2729457771,32.12648484848485
70,12438,14,96,2466.85,25.7,83,4,0,1233.425,655.2829251933855,926.71
71,12441,366,10,155.55,15.56,10,2,0,155.55,0.0,0.0
72,12442,3,11,144.06,13.1,11,1,0,144.06,0.0,0.0
73,12444,21,172,4085.46,23.75,137,1,0,817.092,595.3342472678689,-226.51800000000003
74,12445,22,3,77.4,25.8,3,3,0,77.4,0.0,0.0
75,12446,57,57,1002.31,17.58,57,3,0,1002.31,0.0,0.0
76,12447,243,25,431.49,17.26,25,6,0,431.49,0.0,0.0
77,12448,44,21,365.45,17.4,21,2,0,365.45,0.0,0.0
78,12449,22,187,3596.29,19.23,117,3,0,899.0725,233.06767291568636,157.809
79,12450,156,8,197.88,24.74,7,6,0,98.94,4.157787873376896,-5.879999999999996
80,12452,16,20,348.57,17.43,20,2,0,348.57,0.0,0.0
81,12453,134,43,707.09,16.44,43,3,0,707.09,0.0,0.0
82,12454,56,15,3528.34,235.22,15,4,0,3528.34,0.0,0.0
83,12455,73,85,2339.86,27.53,84,2,0,467.972,685.4232305079834,-302.864
84,12456,44,122,2581.04,21.16,104,2,0,860.3466666666667,160.58273703400792,-12.264999999999986
85,12457,66,59,2043.23,34.63,52,2,0,681.0766666666667,420.0976935586928,-355.45
86,12458,71,36,787.4,21.87,34,0,0,393.7000000000001,44.94370701221694,63.56
87,12461,154,34,626.88,18.44,34,4,0,626.88,0.0,0.0
88,12462,18,60,937.59,15.63,50,2,0,468.795,177.2221725687844,-250.63
89,12463,53,79,1200.78,15.2,64,1,0,300.195,27.298125088242475,6.572000000000008
90,12464,10,22,957.05,43.5,5,3,0,191.41,124.156153693645,9.939999999999996
91,12465,17,45,682.19,15.16,45,3,0,341.095,98.77574626394885,-139.69
92,12468,187,36,657.5400000000001,18.26,35,6,0,328.77000000000004,203.9013114229529,288.36
93,12472,32,332,6068.11,18.28,218,2,0,866.8728571428572,456.1671834870152,-100.84285714285711
94,12473,53,161,2596.23,16.13,138,0,0,865.41,618.2121948813368,485.8949999999999
95,12474,17,408,6745.79,16.53,252,1,0,749.5322222222222,439.0829499302432,88.086
96,12475,53,35,669.38,19.13,35,0,0,669.38,0.0,0.0
97,12476,15,224,5898.42,26.33,176,3,0,655.38,573.1895823809083,144.34333333333333
98,12477,22,300,13219.74,44.07,191,4,0,2643.948,910.9148436434656,-50.95200000000005
99,12478,3,35,545.99,15.6,35,1,0,545.99,0.0,0.0
100,12479,11,30,473.2,15.77,30,0,0,473.2,0.0,0.0
101,12480,28,150,2885.63,19.24,128,4,0,721.4075,206.0346762683408,60.39499999999998
102,12481,22,209,5020.32,24.02,149,0,0,717.1885714285714,310.3126220673044,-3.907500000000011
103,12483,17,68,1910.98,28.1,45,1,0,272.9971428571429,93.75036617071346,3.115357142857148
104,12484,35,342,3953.72,11.56,255,4,0,988.43,210.2728024892108,-55.98
105,12488,9,54,1244.66,23.05,45,2,0,414.8866666666666,178.0431426181119,-38.09
106,12489,336,14,298.93,21.35,14,4,0,298.93,0.0,0.0
107,12490,5,235,4859.93,20.68,130,2,0,607.49125,345.208488533172,44.769880952380944
108,12491,38,25,424.4,16.98,24,1,0,424.4,0.0,0.0
109,12492,63,18,227.21,12.62,18,4,0,113.605,7.375123727775691,10.429999999999993
110,12493,165,20,379.74,18.99,18,3,0,189.87,9.376235918533611,-13.259999999999993
111,12494,15,71,1084.1,15.27,62,4,0,180.68333333333337,109.22480939176168,3.602857142857148
112,12497,81,13,953.1,73.32,13,0,0,953.1,0.0,0.0
113,12498,21,21,349.70000000000005,16.65,20,3,0,174.85000000000002,51.47737367038069,-72.80000000000004
114,12500,23,52,4059.82,78.07,33,4,0,579.9742857142857,560.3410706244648,129.8192857142857
115,12501,336,148,2025.39,13.69,148,4,0,2025.39,0.0,0.0
116,12502,95,142,2995.87,21.1,101,3,0,599.174,183.36386675133136,84.02700000000002
117,12504,18,8,428.05,53.51,5,2,0,428.05,0.0,0.0
118,12506,232,23,73.5,3.2,23,3,0,73.5,0.0,0.0
119,12507,134,19,1052.81,55.41,18,0,0,526.405,232.27750655196897,328.48999999999995
120,12508,26,69,398.27,5.77,57,3,0,398.27,0.0,0.0
121,12509,284,6,158.5,26.42,6,0,0,158.5,0.0,0.0
122,12510,142,31,814.5699999999999,26.28,28,1,0,407.285,268.3682366637304,-379.53
123,12512,66,34,138.03,4.06,31,1,0,138.03,0.0,0.0
124,12513,112,34,558.29,16.42,34,4,0,558.29,0.0,0.0
125,12514,267,51,1017.68,19.95,51,3,0,1017.68,0.0,0.0
126,12515,353,15,278.7,18.58,15,1,0,278.7,0.0,0.0
127,12516,77,24,1186.06,49.42,19,4,0,593.03,90.26925168627469,127.65999999999995
128,12517,28,281,2322.84,8.27,231,3,0,580.71,175.5014075916962,-112.258
129,12518,0,119,1840.89,15.47,83,4,0,368.178,80.32590690431077,-0.9319999999999936
130,12519,63,17,286.84000000000003,16.87,16,4,0,286.84000000000003,0.0,0.0
131,12520,79,147,2346.26,15.96,120,4,0,586.565,357.45296049503725,-187.19600000000003
132,12521,142,37,545.68,14.75,37,2,0,545.68,0.0,0.0
133,12522,39,10,156.72,15.67,10,0,0,156.72,0.0,0.0
134,12523,19,102,1699.77,16.66,83,2,0,188.86333333333332,95.1210891443112,25.933000000000003
135,12524,9,136,3945.72,29.01,112,3,0,563.6742857142857,404.1130053115153,28.038928571428585
136,12526,0,68,1172.66,17.24,63,0,0,390.8866666666667,131.05017410645942,-121.61
137,12527,81,17,330.71000000000004,19.45,17,1,0,110.23666666666668,44.460018368567205,-25.36500000000001
138,12528,9,86,1645.48,19.13,49,0,0,274.24666666666667,92.25483936719344,-19.091999999999995
139,12530,59,62,1500.28,24.2,50,1,0,375.0700000000001,29.91075503337664,21.27399999999999
140,12531,14,17,125.22,7.37,17,4,0,125.22,0.0,0.0
141,12532,30,15,313.83000000000004,20.92,15,2,0,313.83000000000004,0.0,0.0
142,12534,130,62,981.18,15.83,62,0,0,981.18,0.0,0.0
143,12535,91,34,716.35,21.07,28,0,0,358.17499999999995,18.773685040502823,-26.55000000000001
144,12536,59,259,4279.71,16.52,259,1,0,4279.71,0.0,0.0
145,12538,29,21,363.95,17.33,21,3,0,363.95,0.0,0.0
146,12539,22,273,5568.35,20.4,157,3,0,1856.1166666666668,1364.6095347876376,-1190.52
147,12540,19,461,11580.24,25.12,276,1,0,1052.749090909091,610.3284231863128,56.10181818181819
148,12541,29,49,841.18,17.17,45,3,0,280.3933333333334,82.72280540052625,38.32000000000002
149,12544,36,18,316.7,17.59,18,3,0,316.7,0.0,0.0
150,12545,75,48,832.39,17.34,41,4,0,416.195,180.9556963734493,-255.91
151,12546,46,67,1021.5,15.25,58,4,0,510.75,233.98163389462857,-330.90000000000003
152,12547,197,6,151.8,25.3,6,4,0,75.9,78.48885271170678,-111.0
153,12548,166,4,67.19999999999999,16.8,4,6,0,67.19999999999999,0.0,0.0
154,12550,79,56,824.83,14.73,56,2,0,824.83,0.0,0.0
155,12551,357,10,168.0,16.8,10,4,0,168.0,0.0,0.0
156,12552,39,19,317.82,16.73,19,0,0,317.82,0.0,0.0
157,12553,8,182,3278.28,18.01,94,4,0,364.2533333333333,184.23845445508923,-3.3258333333333376
158,12556,50,121,603.71,4.99,100,0,0,301.855,15.619988796410835,-22.08999999999997
159,12558,7,11,269.96,24.54,11,4,0,269.96,0.0,0.0
160,12559,310,20,525.71,26.29,20,0,0,262.855,264.8185606221739,-374.51
161,12560,5,103,1918.01,18.62,90,1,0,959.005,471.3644514067644,-666.6099999999999
162,12561,302,16,238.85,14.93,16,3,0,238.85,0.0,0.0
163,12562,8,161,3385.74,21.03,98,3,0,483.6771428571428,99.97234729568731,23.467499999999998
164,12564,261,20,402.9,20.15,20,2,0,402.9,0.0,0.0
165,12565,288,9,145.92000000000002,16.21,9,3,0,145.92000000000002,0.0,0.0
166,12566,86,18,297.65,16.54,18,2,0,297.65,0.0,0.0
167,12567,22,438,8609.28,19.66,322,6,0,1229.8971428571429,541.2472943339391,-45.257500000000014
168,12569,2,157,3152.69,20.08,91,3,0,350.2988888888889,166.69074265270734,16.925666666666668
169,12571,39,34,519.61,15.28,31,0,0,259.805,16.199816356983792,22.91
170,12572,8,58,912.42,15.73,52,2,0,456.21,31.86223156026585,-45.06
171,12573,227,28,160.54000000000002,5.73,26,1,0,160.54000000000002,0.0,0.0
172,12574,315,10,182.45,18.24,10,4,0,182.45,0.0,0.0
173,12576,35,88,1315.83,14.95,72,4,0,263.16600000000005,80.57712628283538,34.576
174,12577,35,146,653.85,4.48,136,4,0,326.92499999999995,185.3114741455585,262.07
175,12578,21,112,2402.51,21.45,110,3,0,1201.255,298.97181815348426,-422.81000000000006
176,12579,78,28,386.42,13.8,28,3,0,386.42,0.0,0.0
177,12580,246,23,379.7,16.51,23,3,0,379.7,0.0,0.0
178,12581,39,14,179.71,12.84,14,0,0,179.71,0.0,0.0
179,12582,238,20,351.36,17.57,20,3,0,175.68,14.877526676164944,21.039999999999992
180,12583,2,232,6705.38,28.9,114,4,0,558.7816666666666,264.7256884822934,5.977832167832172
181,12584,3,95,2254.15,23.73,43,1,0,281.76875,201.12487318206072,21.790119047619047
182,12585,234,85,1824.1,21.46,76,3,0,912.05,343.3710529441874,-485.5999999999999
183,12586,17,11,196.94000000000003,17.9,11,1,0,196.94000000000003,0.0,0.0
184,12587,7,3,104.0,34.67,3,4,0,104.0,0.0,0.0
185,12588,39,9,174.89999999999998,19.43,9,0,0,174.89999999999998,0.0,0.0
186,12589,28,33,574.68,17.41,28,4,0,287.34000000000003,245.8468856829388,347.68
187,12590,211,67,9341.26,139.42,67,3,0,9341.26,0.0,0.0
188,12591,317,25,368.85,14.75,25,2,0,368.85,0.0,0.0
189,12592,92,16,401.6,25.1,10,1,0,200.8,18.384776310850235,-26.0
190,12593,108,20,382.1,19.1,13,1,0,191.05,12.657211383239217,-17.900000000000006
191,12594,37,114,3208.2200000000003,28.14,49,0,0,356.4688888888889,257.42545180325726,22.661666666666665
192,12596,51,25,450.27,18.01,24,0,0,225.135,15.817978695143072,22.370000000000005
193,12597,19,202,3195.22,15.82,183,6,0,798.8050000000001,760.8856396988973,44.522000000000006
194,12598,9,127,2807.08,22.1,83,4,0,561.4159999999999,310.48515243083693,68.90400000000001
195,12599,29,55,888.58,16.16,31,1,0,148.09666666666666,65.35278958595927,-13.530857142857142
196,12600,28,54,2311.04,42.8,31,4,0,256.78222222222223,79.07218328492293,5.44883333333333
197,12601,189,23,487.06,21.18,20,3,0,97.412,30.536367170965185,-12.482
198,12602,58,12,153.12,12.76,12,2,0,153.12,0.0,0.0
199,12603,21,1,613.1999999999999,613.2,1,4,0,613.1999999999999,0.0,0.0
200,12604,79,15,236.18,15.75,14,2,0,118.09,59.97679718024297,-84.82000000000001
201,12607,60,101,1579.51,15.64,101,0,0,1579.51,0.0,0.0
202,12609,78,57,964.85,16.93,56,0,0,321.6166666666667,89.68371777158512,19.095
203,12610,22,102,1747.54,17.13,84,4,0,582.5133333333333,465.86117034298246,-448.0249999999999
204,12611,52,65,1193.32,18.36,65,1,0,1193.32,0.0,0.0
205,12612,74,18,668.04,37.11,18,0,0,668.04,0.0,0.0
206,12613,57,149,3092.38,20.75,123,3,0,1030.7933333333333,633.1802376364359,503.1000000000001
207,12614,277,20,315.6,15.78,20,0,0,315.6,0.0,0.0
208,12615,2,101,2093.19,20.72,81,3,0,523.2975,97.06097924329153,-50.13699999999999
209,12616,95,30,641.3,21.38,24,0,0,320.65,142.90628047780126,202.1
210,12617,29,42,355.53000000000003,8.46,39,3,0,355.53000000000003,0.0,0.0
211,12618,21,10,137.31,13.73,10,4,0,137.31,0.0,0.0
212,12619,16,82,2945.56,35.92,48,3,0,490.9266666666667,215.125968182985,95.89257142857144
213,12620,14,91,1303.41,14.32,88,4,0,434.47,110.35854429993172,-98.78499999999998
214,12621,1,449,12411.67,27.64,260,3,0,1034.305833333333,451.1429200770041,-47.82863636363637
215,12622,232,10,162.1,16.21,10,3,0,162.1,0.0,0.0
216,12623,276,17,269.1,15.83,17,1,0,269.1,0.0,0.0
217,12624,106,36,569.13,15.81,35,2,0,284.565,29.168154723945086,41.25
218,12625,211,84,2413.82,28.74,72,0,0,1206.91,542.6478860181803,-767.4200000000001
219,12626,23,285,5954.4800000000005,20.89,231,3,0,992.4133333333332,464.6191057486407,-52.75142857142856
220,12627,10,224,4082.53,18.23,161,3,0,816.506,236.18740923258375,-32.29099999999999
221,12628,4,38,732.46,19.28,33,3,0,244.1533333333333,62.90710002323534,-59.19499999999999
222,12630,9,62,1030.88,16.63,59,3,0,515.44,93.83306986345484,-132.69999999999993
223,12631,57,30,480.5,16.02,30,3,0,480.5,0.0,0.0
224,12633,58,97,1929.98,19.9,72,4,0,482.495,346.2490135244672,-254.83
225,12635,89,99,1509.18,15.24,95,6,0,754.5899999999999,176.70598461851824,249.9
226,12637,67,387,5823.9,15.05,204,0,0,970.65,905.9671016985108,52.18114285714284
227,12638,33,38,511.69,13.47,38,6,0,511.69,0.0,0.0
228,12639,238,21,366.1,17.43,21,4,0,366.1,0.0,0.0
229,12640,23,50,994.58,19.89,46,0,0,497.29,250.74006460874975,-354.6
230,12641,115,9,145.9,16.21,9,1,0,145.9,0.0,0.0
231,12642,25,44,905.26,20.57,38,2,0,301.75333333333333,40.08007027605282,-5.799999999999983
232,12643,128,18,3041.64,168.98,10,1,0,760.41,246.70223914670905,83.78400000000002
233,12644,129,31,477.91,15.42,31,1,0,477.91,0.0,0.0
234,12645,33,69,1631.18,23.64,57,0,0,407.795,51.78811285742447,25.942
235,12646,4,45,1346.97,29.93,43,4,0,673.485,82.31430039792606,-116.41000000000008
236,12647,22,109,3146.82,28.87,77,6,0,393.3525,255.332310123214,-62.01642857142857
237,12648,154,20,300.05,15.0,20,4,0,300.05,0.0,0.0
238,12649,107,29,569.51,19.64,27,2,0,284.755,76.71401469092851,-108.48999999999998
239,12650,3,19,242.44,12.76,19,1,0,242.44,0.0,0.0
240,12651,334,9,114.0,12.67,9,6,0,114.0,0.0,0.0
241,12652,331,47,793.98,16.89,47,2,0,793.98,0.0,0.0
242,12653,148,43,2209.85,51.39,37,3,0,1104.925,460.7861339602137,651.65
243,12654,10,34,529.98,15.59,30,3,0,176.66,44.71883607608768,39.81500000000001
244,12656,17,121,3619.17,29.91,88,2,0,723.8340000000001,280.2540776331363,-27.655
245,12657,11,44,1427.18,32.44,34,3,0,475.7266666666667,402.55536083044944,145.89999999999998
246,12658,18,35,632.05,18.06,35,0,0,632.05,0.0,0.0
247,12659,29,4,73.67999999999999,18.42,4,3,0,73.67999999999999,0.0,0.0
248,12660,11,12,227.1,18.92,12,0,0,227.1,0.0,0.0
249,12662,0,220,3543.78,16.11,128,1,0,354.37800000000004,93.13044481323551,7.439757575757576
250,12664,8,28,4391.88,156.85,9,1,0,627.4114285714286,217.8953883119582,51.00571428571428
251,12665,324,2,45.0,22.5,2,2,0,45.0,0.0,0.0
252,12667,58,32,460.13,14.38,32,2,0,460.13,0.0,0.0
253,12668,11,157,3177.15,20.24,114,0,0,794.2875,316.0521205302484,129.54300000000003
254,12669,150,98,1427.73,14.57,96,0,0,713.865,444.6782414847841,-628.8699999999999
255,12670,10,87,2744.05,31.54,57,3,0,686.0125,391.1545475789162,222.033
256,12672,329,10,225.9,22.59,10,4,0,225.9,0.0,0.0
257,12673,5,41,574.52,14.01,41,0,0,287.26,93.8472119990786,132.72
258,12674,38,79,1844.6,23.35,51,1,0,461.15,95.7607108021517,-0.1279999999999972
259,12676,24,39,1091.39,27.98,32,1,0,181.8983333333333,143.31631343523551,-49.43742857142857
260,12679,58,44,951.02,21.61,42,1,0,237.755,322.87000000000006,-193.72200000000004
261,12680,0,49,790.81,16.14,32,3,0,263.6033333333333,13.275828913229208,-13.16499999999999
262,12682,3,496,11028.22,22.23,208,1,0,848.3246153846153,456.76929989538826,20.37824175824176
263,12683,4,331,7612.57,23.0,176,3,0,845.8411111111111,304.31695785169626,-34.84966666666667
264,12684,7,98,2073.63,21.16,59,1,0,414.726,254.71132518990984,-129.279
265,12685,28,151,2575.08,17.05,116,3,0,858.36,706.7221199311649,-653.95
266,12686,371,6,71.14,11.86,6,4,0,71.14,0.0,0.0
267,12688,113,171,4873.81,28.5,171,3,0,4873.81,0.0,0.0
268,12689,25,70,1139.61,16.28,56,0,0,569.8050000000001,134.03209037391008,189.55
269,12690,205,15,335.01,22.33,15,2,0,335.01,0.0,0.0
270,12691,28,27,927.8,34.36,20,0,0,185.56,59.33054019642834,8.769999999999994
271,12693,127,35,711.91,20.34,34,3,0,177.9775,35.176883863317585,17.828999999999994
272,12694,70,35,761.67,21.76,31,3,0,380.835,6.597306268470497,-9.329999999999984
273,12695,7,27,582.1,21.56,23,2,0,145.525,75.17247390723105,-9.400000000000002
274,12697,28,38,757.59,19.94,36,3,0,252.53,64.10623136638125,-63.40999999999999
275,12700,7,264,4525.99,17.14,192,2,0,1131.4975,197.45004252130883,103.253
276,12701,79,51,725.71,14.23,49,2,0,362.855,87.36304281559794,123.55
277,12702,19,11,201.0,18.27,11,6,0,201.0,0.0,0.0
278,12703,71,20,265.55,13.28,20,3,0,265.55,0.0,0.0
279,12704,7,81,1740.84,21.49,63,3,0,348.168,206.1349523249272,-35.73500000000001
280,12705,15,328,6382.29,19.46,227,4,0,911.7557142857142,207.6725630134405,-24.41892857142856
281,12707,291,33,603.42,18.29,33,0,0,603.42,0.0,0.0
282,12708,29,147,2442.91,16.62,85,0,0,271.4344444444444,65.35552675771024,15.353
283,12709,15,203,9430.52,46.46,92,3,0,943.052,474.2789876995747,8.852484848484847
284,12710,96,74,1023.02,13.82,74,6,0,341.00666666666666,297.2050109492324,-162.15000000000003
285,12712,28,120,3928.13,32.73,57,4,0,392.813,190.87571355029252,-9.067090909090908
286,12713,0,37,794.55,21.47,37,4,0,794.55,0.0,0.0
287,12714,9,254,4294.86,16.91,215,3,0,858.9720000000001,294.9200544554405,96.86200000000002
288,12715,106,20,273.86,13.69,19,3,0,273.86,0.0,0.0
289,12716,3,67,963.49,14.38,59,4,0,481.745,201.0375289591473,-284.30999999999995
290,12717,151,53,830.98,15.68,48,4,0,415.49,133.2896282536642,-188.5
291,12718,71,18,202.25,11.24,18,3,0,202.25,0.0,0.0
292,12719,5,37,572.95,15.49,33,6,0,286.475,54.97755223725407,77.75
293,12720,2,342,5115.73,14.96,210,2,0,393.5176923076924,170.5356180369097,18.451538461538465
294,12721,31,155,2386.13,15.39,132,3,0,397.6883333333333,118.71707382119337,41.06085714285715
295,12722,85,52,979.63,18.84,49,2,0,326.5433333333333,289.0997873284125,-126.47
296,12723,3,68,707.07,10.4,52,2,0,235.69,154.72517991587537,-120.06499999999998
297,12724,5,49,923.41,18.85,46,0,0,230.8525,175.35129338464165,54.137000000000015
298,12725,371,23,371.8,16.17,23,4,0,371.8,0.0,0.0
299,12726,28,117,2411.1,20.61,56,4,0,344.4428571428571,186.38948376220924,60.21571428571429
300,12727,10,132,3440.7000000000003,26.07,108,2,0,573.4499999999999,165.12472413300196,-5.047428571428567
301,12728,71,42,728.33,17.34,37,1,0,182.0825,38.58266309713038,-10.123
302,12729,113,25,417.01,16.68,25,3,0,417.01,0.0,0.0
303,12732,179,11,218.26,19.84,11,0,0,218.26,0.0,0.0
304,12733,234,22,383.95,17.45,22,1,0,383.95,0.0,0.0
305,12734,352,4,110.4,27.6,4,2,0,110.4,0.0,0.0
306,12735,315,41,689.5699999999999,16.82,37,3,0,689.5699999999999,0.0,0.0
307,12736,332,3,144.0,48.0,3,1,0,144.0,0.0,0.0
308,12738,372,10,137.35,13.74,10,3,0,137.35,0.0,0.0
309,12739,99,37,975.54,26.37,37,3,0,975.54,0.0,0.0
310,12740,63,27,427.6,15.84,27,4,0,427.6,0.0,0.0
311,12743,134,134,546.43,4.08,114,3,0,546.43,0.0,0.0
312,12744,56,215,9120.39,42.42,177,1,0,2280.0975,1225.347050767659,-133.085
313,12747,2,103,4196.01,40.74,42,1,1,466.22333333333336,195.16695974216535,-13.040333333333333
314,12749,3,198,4040.88,20.41,159,0,1,1010.22,607.3288140153842,-166.166
315,12750,128,15,275.88,18.39,15,2,0,275.88,0.0,0.0
316,12752,81,53,4366.78,82.39,53,0,0,4366.78,0.0,0.0
317,12756,86,4,112.08,28.02,4,2,0,112.08,0.0,0.0
318,12757,15,365,4199.2,11.5,235,3,0,839.8399999999999,618.4909889804378,170.816
319,12758,116,97,2791.59,28.78,84,1,0,1395.795,246.63177421005588,-348.79
320,12759,52,92,1411.44,15.34,80,1,0,470.48,106.00262638255715,-5.439999999999998
321,12762,7,67,1702.52,25.41,61,4,0,851.26,630.2725583428173,891.3400000000001
322,12763,138,18,494.08,27.45,16,6,0,247.04,103.29415859573083,-146.07999999999998
323,12764,316,45,1693.88,37.64,45,3,0,1693.88,0.0,0.0
324,12766,3,306,6457.63,21.1,204,2,0,922.5185714285716,276.0964849727097,15.68964285714286
325,12769,238,32,1143.6,35.74,32,4,0,1143.6,0.0,0.0
326,12770,210,12,1351.45,112.62,12,4,0,1351.45,0.0,0.0
327,12772,59,54,752.47,13.93,54,1,0,752.47,0.0,0.0
328,12775,17,61,1281.04,21.0,46,1,0,256.208,88.09962865983036,22.79100000000001
329,12778,19,44,693.23,15.76,39,4,0,138.64600000000002,66.60916363384246,-11.712999999999996
330,12779,37,149,3981.36,26.72,88,2,0,497.67,316.17975976604555,45.57761904761905
331,12781,63,24,786.74,32.78,24,0,0,393.37,220.46175223834177,-311.78
332,12782,4,98,1938.92,19.78,80,2,0,387.784,124.27243551970808,-47.87100000000001
